"","cnames","y","aid"
"938","Madagascar","1988","0.1"
"939","Malawi","1988","1.1"
"940","Mali","1988","0.2"
"941","Mauritania","1988","0.2"
"942","Mauritius","1988","0.1"
"943","Mozambique","1988",
"944","Namibia","1988",
"945","Niger","1988","2"
"946","Nigeria","1988","0.2"
"947","Rwanda","1988","0.1"
"948","Sao Tome & Principe","1988","0.1"
"949","Senegal","1988","2"
"950","Seychelles","1988","0.1"
"951","Sierra Leone","1988","0.1"
"952","Somalia","1988","10.6"
"953","South Africa","1988",
"954","Sudan","1988","1.5"
"955","Swaziland","1988","0.1"
"956","Tanzania","1988",
"957","Togo","1988","0.1"
"958","Uganda","1988","0.2"
"959","Zambia","1988",
"960","Zimbabwe","1988","0.3"
"961","Angola","1989",
"962","Benin","1989","0.1"
"963","Botswana","1989","1.3"
"964","Burkina Faso","1989","0.2"
"965","Burundi","1989","0.2"
"966","Cameroon","1989","0.4"
"967","Cape Verde","1989","0.1"
"968","Central African Republic","1989","0.3"
"969","Chad","1989","3.5"
"970","Comoros","1989","0.1"
"971","Congo (Brazzaville)","1989","0"
"972","Congo (Kinshasa)","1989","6.3"
"973","Cote d'Ivoire","1989","0.2"
"974","Djibouti","1989","1"
"975","Equatorial Guinea","1989","0.2"
"976","Eritrea","1989",
"977","Ethiopia","1989",
"978","Gabon","1989","0.2"
"979","Gambia, The","1989","0.1"
"980","Ghana","1989","0.3"
"981","Guinea","1989","0.2"
"982","Guinea-Bissau","1989","0.1"
"983","Kenya","1989","25.1"
"984","Lesotho","1989","0.1"
"985","Liberia","1989","0.8"
"986","Madagascar","1989","0.1"
"987","Malawi","1989","2.3"
"988","Mali","1989","0.2"
"989","Mauritania","1989","0.2"
"990","Mauritius","1989","0"
"991","Mozambique","1989",
"992","Namibia","1989",
"993","Niger","1989","0.8"
"994","Nigeria","1989","0.2"
"995","Rwanda","1989","0.2"
"996","Sao Tome & Principe","1989","0.1"
"997","Senegal","1989","1.5"
"998","Seychelles","1989","0.1"
"999","Sierra Leone","1989","0.1"
"1000","Somalia","1989","1.4"
"1001","South Africa","1989",
"1002","Sudan","1989","1.4"
"1003","Swaziland","1989","0.1"
"1004","Tanzania","1989","0.1"
"1005","Togo","1989","0.2"
"1006","Uganda","1989","0.2"
"1007","Zambia","1989",
"1008","Zimbabwe","1989","0.3"
"1009","Angola","1990",
"1010","Benin","1990","0.2"
"1011","Botswana","1990","2"
"1012","Burkina Faso","1990","0.1"
"1013","Burundi","1990","0.4"
"1014","Cameroon","1990","0.7"
"1015","Cape Verde","1990","0.1"
"1016","Central African Republic","1990","0.4"
"1017","Chad","1990","6.2"
"1018","Comoros","1990","0.2"
"1019","Congo (Brazzaville)","1990","0.1"
"1020","Congo (Kinshasa)","1990","5.2"
"1021","Cote d'Ivoire","1990","1"
"1022","Djibouti","1990","3.3"
"1023","Equatorial Guinea","1990","0.6"
"1024","Eritrea","1990",
"1025","Ethiopia","1990",
"1026","Gabon","1990","0.2"
"1027","Gambia, The","1990","0.2"
"1028","Ghana","1990","0.3"
"1029","Guinea","1990","0.9"
"1030","Guinea-Bissau","1990","0.7"
"1031","Kenya","1990","2.1"
"1032","Lesotho","1990","0.1"
"1033","Liberia","1990",
"1034","Madagascar","1990","0.8"
"1035","Malawi","1990","2.3"
"1036","Mali","1990","0.2"
"1037","Mauritania","1990","0.2"
"1038","Mauritius","1990",
"1039","Mozambique","1990",
"1040","Namibia","1990",
"1041","Niger","1990","3.3"
"1042","Nigeria","1990","0.2"
"1043","Rwanda","1990","0.4"
"1044","Sao Tome & Principe","1990","0.4"
"1045","Senegal","1990","3.6"
"1046","Seychelles","1990","0.1"
"1047","Sierra Leone","1990","0.6"
"1048","Somalia","1990",
"1049","South Africa","1990",
"1050","Sudan","1990",
"1051","Swaziland","1990","0.1"
"1052","Tanzania","1990","0.2"
"1053","Togo","1990","0.4"
"1054","Uganda","1990","0.2"
"1055","Zambia","1990",
"1056","Zimbabwe","1990","0.3"
"1057","Angola","1991",
"1058","Benin","1991","0.2"
"1059","Botswana","1991","4.7"
"1060","Burkina Faso","1991","0.2"
"1061","Burundi","1991","0.6"
"1062","Cameroon","1991","1.9"
"1063","Cape Verde","1991","3.1"
"1064","Central African Republic","1991","0.6"
"1065","Chad","1991","1.7"
"1066","Comoros","1991","0.1"
"1067","Congo (Brazzaville)","1991","0.3"
